user_id,domain,signup
199,NORTHWESTERN.EDU,2017-10-26
200,U.NORTHWESTERN.EDU,2016-06-29
201,U.NORTHWESTERN.EDU,2016-06-29
202,KELLOGG.NORTHWESTERN.EDU,2017-04-18
203,GMAIL.COM,2017-11-16
204,GMAIL.COM,2016-07-19
205,NORTHWESTERN.EDU,2016-06-29
206,NORTHWESTERN.EDU,2017-03-27
207,NORTHWESTERN.EDU,2017-05-17
208,U.NORTHWESTERN.EDU,2017-04-24
209,GMAIL.COM,2017-11-21
210,GRAVITY.PHYS.UWM.EDU,2016-07-05
211,U.NORTHWESTERN.EDU,2017-11-05
212,KELLOGG.NORTHWESTERN.EDU,2017-11-21
213,NORTHWESTERN.EDU,2016-06-30
214,GMAIL.COM,2017-04-24
215,U.NORTHWESTERN.EDU,2017-04-24
216,U.NORTHWESTERN.EDU,2016-06-30
217,U.NORTHWESTERN.EDU,2016-10-02
218,NORTHWESTERN.EDU,2017-08-31
219,GMAIL.COM,2017-04-24
220,U.NORTHWESTERN.EDU,2017-08-31
221,GMAIL.COM,2018-01-16
222,U.NORTHWESTERN.EDU,2017-07-07
223,U.NORTHWESTERN.EDU,2017-10-26
224,GMAIL.COM,2018-01-01
225,GMAIL.COM,2016-07-05
226,GMAIL.COM,2017-04-24
227,NORTHWESTERN.EDU,2017-07-06
228,NORTHWESTERN.EDU,2016-10-20
229,NORTHWESTERN.EDU,2017-08-31
230,U.NORTHWESTERN.EDU,2017-11-21
231,U.NORTHWESTERN.EDU,2017-11-21
232,GMAIL.COM,2017-08-31
233,U.NORTHWESTERN.EDU,2017-11-21
234,U.NORTHWESTERN.EDU,2017-10-26
235,U.NORTHWESTERN.EDU,2017-07-07
236,U.NORTHWESTERN.EDU,2016-06-29
237,U.NORTHWESTERN.EDU,2016-06-30
238,NORTHWESTERN.EDU,2017-08-31
239,GMAIL.COM,2017-10-26
240,U.NORTHWESTERN.EDU,2017-04-24
241,GMAIL.COM,2017-10-17
242,NORTHWESTERN.EDU,2017-08-31
243,U.NORTHWESTERN.EDU,2016-07-15
244,U.NORTHWESTERN.EDU,2017-08-10
245,GMAIL.COM,2017-10-17
246,KELLOGG.NORTHWESTERN.EDU,2017-11-16
247,U.NORTHWESTERN.EDU,2017-11-05
248,NORTHWESTERN.EDU,2017-08-31
249,U.NORTHWESTERN.EDU,2016-07-07
250,UCHICAGO.EDU,2017-10-10
251,U.NORTHWESTERN.EDU,2017-11-16
252,GMAIL.COM,2018-01-16
253,U.NORTHWESTERN.EDU,2017-10-21
254,GMAIL.COM,2017-03-03
255,U.NORTHWESTERN.EDU,2017-07-26
256,U.NORTHWESTERN.EDU,2017-11-21
257,NORTHWESTERN.EDU,2016-07-05
258,U.NORTHWESTERN.EDU,2017-11-05
259,U.NORTHWESTERN.EDU,2017-07-27
260,NORTHWESTERN.EDU,2017-10-10
261,U.NORTHWESTERN.EDU,2017-11-21
262,U.NORTHWESTERN.EDU,2017-11-05
263,NORTHWESTERN.EDU,2017-04-24
264,GMAIL.COM,2017-10-17
265,U.NORTHWESTERN.EDU,2017-08-31
266,GMAIL.COM,2017-10-17
267,NORTHWESTERN.EDU,2016-06-29
268,NORTHWESTERN.EDU,2017-10-10
269,U.NORTHWESTERN.EDU,2017-11-16
270,U.NORTHWESTERN.EDU,2017-05-23
271,U.NORTHWESTERN.EDU,2016-06-29
272,NORTHWESTERN.EDU,2016-07-06
273,U.NORTHWESTERN.EDU,2017-11-07
274,GMAIL.COM,2017-04-24
275,NORTHWESTERN.EDU,2017-11-21
276,GMAIL.COM,2017-08-31
277,YAHOO.COM,2017-08-31
278,GMAIL.COM,2017-11-21
279,U.NORTHWESTERN.EDU,2017-10-21
280,U.NORTHWESTERN.EDU,2017-10-17
281,UCHICAGO.EDU,2018-01-16
282,U.NORTHWESTERN.EDU,2018-01-01
283,U.NORTHWESTERN.EDU,2017-11-05
284,NORTHWESTERN.EDU,2017-04-03
285,U.NORTHWESTERN.EDU,2017-08-31
286,GMAIL.COM,2017-11-21
287,GMAIL.COM,2018-01-16
288,U.NORTHWESTERN.EDU,2017-08-31
289,GMAIL.COM,2017-04-24
290,KELLOGG.NORTHWESTERN.EDU,2018-01-16
291,NORTHWESTERN.EDU,2017-01-31
292,HOTMAIL.COM,2018-01-16
293,U.NORTHWESTERN.EDU,2017-04-24
294,NORTHWESTERN.EDU,2017-08-31
295,U.NORTHWESTERN.EDU,2017-11-21
296,NORTHWESTERN.EDU,2017-08-31
297,U.NORTHWESTERN.EDU,2017-11-16
298,U.NORTHWESTERN.EDU,2017-10-17
299,U.NORTHWESTERN.EDU,2017-10-26
300,GMAIL.COM,2017-08-31
301,GMAIL.COM,2016-06-29
302,U.NORTHWESTERN.EDU,2017-07-27
303,GMAIL.COM,2016-06-29
304,U.NORTHWESTERN.EDU,2016-07-05
305,U.NORTHWESTERN.EDU,2017-11-21
306,U.NORTHWESTERN.EDU,2017-11-21
307,KELLOGG.NORTHWESTERN.EDU,2017-10-17
308,U.NORTHWESTERN.EDU,2017-10-26
309,GMAIL.COM,2017-11-21
310,NORTHWESTERN.EDU,2017-10-10
311,GALTON.UCHICAGO.EDU,2018-01-16
312,U.NORTHWESTERN.EDU,2016-07-15
313,U.NORTHWESTERN.EDU,2017-11-21
314,NORTHWESTERN.EDU,2018-01-16
